Catalog No,Box Number,Collection,Collector/Creator,Taxon/Item,Acquisition/Donar,Date Collected,Locality,Location,State,Country,Specimen Count,Specimen Nature,Database
CMNAV 10128,,Bird,George H. Wilkins,Lagopus lagopus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10129,,Bird,George H. Wilkins,Lagopus lagopus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10130,,Bird,Peter Bernard,Lagopus lagopus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10131,,Bird,George H. Wilkins,Lagopus muta,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10132,,Bird,George H. Wilkins,Lagopus muta,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10133,,Bird,George H. Wilkins,Lagopus muta,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10134,,Bird,George H. Wilkins,Lagopus muta,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10135,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10136,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10137,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10138,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10139,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10140,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10141,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10142,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10143,,Bird,George H. Wilkins,Bubo scandiacus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10144,,Bird,George H. Wilkins,Corvus corax,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10146,,Bird,George H. Wilkins,Calcarius lapponicus,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10147,,Bird,George H. Wilkins,Parkesia noveboracensis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 10148,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10149,,Bird,Rudolph M. Anderson,Pluvialis squatarola,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10150,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10151,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10152,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10153,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10154,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10155,,Bird,Rudolph M. Anderson,Calcarius lapponicus,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10156,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10157,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10158,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10159,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10160,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10161,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10162,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10163,,Bird,Rudolph M. Anderson,Larus glaucoides thayeri,Canadian Arctic Expedition,,Kater Point,Coronation Gulf,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10164,,Bird,Rudolph M. Anderson,Larus glaucoides thayeri,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,skin / peau,Specimen
CMNAV 10318,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10319,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10320,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10321,,Bird,Rudolph M. Anderson,Calidris bairdii,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10322,,Bird,Diamond Jenness,Calidris bairdii,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,,Specimen
CMNAV 10323,,Bird,Diamond Jenness,Calidris bairdii,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,,Specimen
CMNAV 10324,,Bird,Diamond Jenness,Calidris bairdii,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,,Specimen
CMNAV 10325,,Bird,Diamond Jenness,Anas acuta,Canadian Arctic Expedition,,Camden Bay,Beaufort Sea,Alaska,USA,1,,Specimen
CMNAV 10326,,Bird,Frits Johansen,Calidris melanotos,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10327,,Bird,Frits Johansen,Calidris melanotos,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10328,,Bird,Frits Johansen,Calidris melanotos,Canadian Arctic Expedition,,Bernard Harbour,Dolphin and Union Strait,Nunavut,Canada,1,,Specimen
CMNAV 10329,,Bird,Rudolph M. Anderson,Somateria mollissima,Canadian Arctic Expedition,,Canning River,Brownlow Point,Alaska,USA,1,,Specimen
CMNAV 10330,,Bird,Rudolph M. Anderson,Somateria spectabilis,Canadian Arctic Expedition,,Canning River,Brownlow Point,Alaska,USA,1,,Specimen
CMNAV 10331,,Bird,Rudolph M. Anderson,Polysticta stelleri,Canadian Arctic Expedition,,Canning River,Brownlow Point,Alaska,USA,1,,Specimen
CMNAV 10332,,Bird,Rudolph M. Anderson,Somateria fischeri,Canadian Arctic Expedition,,Canning River,Brownlow Point,Alaska,USA,1,,Specimen
CMNAV 12922,,Bird,John Hadley,Lagopus lagopus,Canadian Arctic Expedition,,Armstrong Point,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12923,,Bird,John Hadley,Lagopus muta,Canadian Arctic Expedition,,Armstrong Point,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12924,,Bird,John Hadley,Lagopus muta,Canadian Arctic Expedition,,Western Arctic,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12925,,Bird,John Hadley,Gavia adamsii Gray 1859,Canadian Arctic Expedition,,Prince of Wales Strait,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12926,,Bird,John Hadley,Bubo scandiacus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12927,,Bird,John Hadley,Larus glaucoides thayeri,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12928,,Bird,John Hadley,Larus glaucoides thayeri,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12929,,Bird,John Hadley,Larus glaucoides thayeri,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12930,,Bird,John Hadley,Larus glaucoides thayeri,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12931,,Bird,John Hadley,Buteo lagopus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12932,,Bird,John Hadley,Antigone canadensis,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12933,,Bird,John Hadley,Bubo scandiacus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12934,,Bird,John Hadley,Larus glaucoides thayeri,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12935,,Bird,John Hadley,Bubo scandiacus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12936,,Bird,John Hadley,Bubo scandiacus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12937,,Bird,John Hadley,Calidris bairdii,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12938,,Bird,John Hadley,Buteo lagopus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12939,,Bird,John Hadley,"Clangula hyemalis Linnaeus, 1758",Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12940,,Bird,John Hadley,Somateria mollissima,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12941,,Bird,John Hadley,Larus hyperboreus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12942,,Bird,John Hadley,Gavia adamsii Gray 1859,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12943,,Bird,John Hadley,Gavia adamsii Gray 1859,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12944,,Bird,John Hadley,Gavia stellata,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12945,,Bird,John Hadley,"Clangula hyemalis Linnaeus, 1758",Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12946,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12947,,Bird,John Hadley,Stercorarius longicaudus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12948,,Bird,John Hadley,Stercorarius longicaudus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12949,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12950,,Bird,John Hadley,Gavia stellata,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12951,,Bird,John Hadley,Branta canadensis,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12952,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12953,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12954,,Bird,John Hadley,Bubo scandiacus,Canadian Arctic Expedition,,Walker Bay,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12955,,Bird,John Hadley,Bubo virginianus,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12956,,Bird,John Hadley,Asio flammeus,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12957,,Bird,John Hadley,Numenius phaeopus,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12958,,Bird,John Hadley,Somateria fischeri,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,,Specimen
CMNAV 12959,,Bird,John Hadley,Somateria fischeri,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12960,,Bird,John Hadley,Anas acuta,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12961,,Bird,John Hadley,Anas acuta,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12962,,Bird,John Hadley,Polysticta stelleri,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12963,,Bird,John Hadley,Phalaropus fulicarius,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12964,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12965,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12966,,Bird,John Hadley,Stercorarius pomarinus,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12967,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,,Specimen
CMNAV 12968,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12969,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12970,,Bird,John Hadley,Gavia stellata,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12971,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12972,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12973,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12974,,Bird,John Hadley,Pluvialis dominica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12975,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12976,,Bird,John Hadley,Mergus serrator,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12977,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12978,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12979,,Bird,John Hadley,Branta bernicla nigricans,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12980,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12981,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12982,,Bird,John Hadley,Gavia stellata,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12983,,Bird,John Hadley,Gavia stellata,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12984,,Bird,John Hadley,Larus hyperboreus,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12985,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12986,,Bird,John Hadley,Bubo scandiacus,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12987,,Bird,John Hadley,Gavia stellata,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12988,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Barter Island,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12989,,Bird,John Hadley,Sterna paradisaea,Canadian Arctic Expedition,,Manning Point,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12990,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Manning Point,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12991,,Bird,John Hadley,Xema sabini,Canadian Arctic Expedition,,Manning Point,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12992,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Manning Point,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12993,,Bird,John Hadley,Gavia adamsii Gray 1859,Canadian Arctic Expedition,,Manning Point,Beaufort Sea,Alaska,USA,1,skin / peau,Specimen
CMNAV 12994,,Bird,John Hadley,Gavia pacifica,Canadian Arctic Expedition,,Western Arctic,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12995,,Bird,John Hadley,Sterna paradisaea,Canadian Arctic Expedition,,Western Arctic,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12996,,Bird,John Hadley,Calidris bairdii,Canadian Arctic Expedition,,Prince of Wales Strait,Victoria Island,Northwest Territories & Nunavut,Canada,1,skin / peau,Specimen
CMNAV 12997,,Bird,Peter Bernard,Somateria mollissima,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 12998,,Bird,Peter Bernard,Somateria mollissima,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 12999,,Bird,Peter Bernard,"Clangula hyemalis Linnaeus, 1758",Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 13000,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
CMNAV 13001,,Bird,Peter Bernard,Somateria spectabilis,Canadian Arctic Expedition,,Cape Kellett,Banks Island,Northwest Territories,Canada,1,skin / peau,Specimen
